Time (ms); Pri Amplitude (mm)
127789;160.018
127879;159.9767
127970;159.9561
128060;159.8235
128149;159.9898
128240;160.0716
128330;160.0048
128416;160.0852
128507;160.0107
128596;159.9227
128686;159.9359
128772;160.0402
128865;160.0256
128956;159.9641
129045;160.2244
129135;160.0984
129225;159.946
129316;159.812
129405;159.9174
129492;159.9416
129583;159.6951
129671;159.8605
129764;160.074
129857;160.0102
129945;159.9928
130035;159.893
130126;160.1837
130211;159.8538
130299;159.8889
130394;159.7824
130482;159.6223
130574;159.2427
130663;159.2032
130749;159.1878
130838;159.1583
130929;159.1057
131018;159.0887
131107;158.9736
131199;159.0263
131289;158.9498
131377;159.0531
131472;159.023
131558;158.9865
131649;159.007
131741;158.9423
131825;158.5394
131915;158.5128
132005;158.597
132095;158.4671
132185;158.5141
132277;158.2544
132365;158.1853
132453;157.8604
132543;157.9111
132632;157.7532
132724;158.0107
132812;158.0284
132904;157.8353
132996;157.8545
133084;158.0511
133174;158.2079
133263;158.4379
133352;158.7044
133444;158.7799
133530;158.9647
133623;159.0398
133721;159.064
133800;159.4634
133891;159.408
133980;159.2343
134071;159.3935
134159;159.4236
134256;159.3157
134341;159.1706
134433;159.3579
134520;159.3785
134613;159.3195
134705;159.2334
134788;159.1854
134884;159.0682
134969;159.0077
135065;158.9663
135147;158.8146
135239;158.5863
135334;158.4409
135423;158.2829
135507;158.1809
135597;158.1645
135688;157.9764
135778;157.986
135866;157.9802
135954;158.2374
136044;158.1572
136134;158.1651
136225;158.3708
136314;158.6304
136405;158.7518
136499;159.0604
136587;158.9037
136676;158.8241
136767;158.8319
136854;158.6659
136944;158.6449
137035;158.5377
137126;158.6289
137219;158.4038
137306;158.3863
137395;158.1904
137483;158.1241
137573;158.127
137663;158.099
137751;158.0566
137845;157.986
137936;157.9722
138026;157.9347
138114;157.8455
138204;157.8582
138296;157.8976
138382;158.0786
138475;157.9915
138567;157.9649
138649;158.1291
138740;158.0825
138829;157.9856
138921;158.0879
139010;158.4518
139100;158.7149
139186;158.9465
139283;158.9989
139367;159.0112
139461;158.7501
139551;158.9685
139641;158.87
139730;158.7698
139820;158.6671
139910;158.5896
139995;158.4386
140089;158.207
140183;158.2328
140265;157.951
140360;157.9668
140449;158.2281
140545;157.8778
140634;158.0103
140723;158.129
140808;157.9005
140904;158.1119
140989;157.8421
141071;158.0621
141167;157.9855
141256;158.2846
141346;158.2027
141438;158.1754
141530;158.1145
141612;158.1783
141707;157.9935
141797;157.9309
141891;157.8664
141969;158.0696
142064;157.9678
142149;158.2216
142252;157.809
142342;157.9069
142418;158.0466
142513;158.2038
142604;158.3469
142693;158.3128
142785;158.4576
142874;158.8058
142962;158.722
143054;158.8071
143143;158.7349
143228;158.8084
143324;158.7804
143408;158.557
143500;158.5777
143591;158.6001
143677;158.4322
143770;158.4089
143862;158.4394
143951;158.1584
144040;158.1064
144129;158.1148
144225;158.1425
144308;158.1173
144398;158.0846
144488;158.2484
144574;158.0067
144667;158.1588
144757;158.1257
144847;158.1811
144937;158.2077
145026;158.2225
145111;158.441
145214;158.6906
145302;158.6821
145382;158.8059
145478;158.9956
145569;158.9076
145651;158.9635
145750;159.0151
145838;159.1532
145926;159.0114
146014;158.9401
146103;159.1283
146196;159.0344
146282;159.0024
146371;159.0532
146457;159.0615
146554;159.0482
146641;158.9934
146734;159.0604
146822;158.9558
146913;159.1019
147002;158.96
147091;158.8823
147183;158.8693
147267;158.6445
147366;158.5894
147449;158.5152
147540;158.5104
147631;158.3766
147720;158.371
147809;158.38
147904;158.3634
147988;158.3307
148076;158.4037
148170;158.4729
148258;158.4736
148346;158.5593
148435;158.5186
148524;158.6656
148618;158.8586
148704;159.0919
148796;159.1608
148889;159.1626
148978;158.959
149066;159.027
149155;158.9493
149248;158.6791
149337;158.6495
149421;158.615
149514;158.553
149603;158.619
149695;158.4852
149787;158.6462
149876;158.5697
149960;158.5814
150050;158.6109
150144;158.5905
150232;158.6433
150323;158.6296
150411;158.6375
150500;158.5865
150591;158.525
150686;158.6456
150771;158.5628
150866;158.4396
150950;158.4399
151039;158.43
151135;158.4508
151227;158.4579
151310;158.3499
151398;158.437
151491;158.5798
151578;158.6706
151671;159.0043
151759;159.0649
151852;158.8311
151939;158.8879
152029;159.0029
152119;158.9952
152208;158.8383
152299;158.7675
152390;158.7111
152483;158.5433
152569;158.3704
152656;158.3471
152744;158.3715
152835;158.2945
152923;158.3119
153015;158.2948
153110;158.2782
153193;158.2006
153286;158.3072
153378;158.1965
153464;158.1496
153555;158.1693
153647;158.1657
153735;158.1768
153823;158.1311
153915;158.1179
153999;158.3549
154102;158.5913
154178;158.7026
154270;158.7522
154366;158.7512
154453;158.7489
154546;158.8335
154636;158.8317
154725;158.7751
154810;158.7255
154905;158.7709
154994;158.7812
155080;158.6487
155175;158.5873
155260;158.6818
155349;158.7036
155441;158.6626
155529;158.5977
155617;158.7147
155707;158.4528
155798;158.3543
155886;158.3915
155981;158.3917
156067;158.3303
156161;158.4292
156249;158.4619
156339;158.2155
156422;158.3006
156520;158.3497
156605;158.4556
156696;158.4864
156788;158.7307
156875;158.8925
156965;158.8402
157056;158.8646
157145;158.8725
157232;159.083
157324;159.1771
157419;159.1475
157503;159.2605
157594;159.2766
157685;159.3412
157770;159.3739
157863;159.7432
157952;160.0322
158043;160.2117
158129;160.1075
158222;160.1689
158308;160.1272
158403;159.93
158490;159.8532
158578;159.942
158672;159.7484
158764;159.9064
158846;159.7343
158942;159.7249
159033;159.8692
159118;159.9111
159207;159.8657
159303;159.9261
159384;159.8991
159476;159.7945
159567;159.797
159654;159.891
159749;159.9682
159839;159.9557
159927;159.9786
160016;160.0731
160106;159.7708
160190;159.7385
160285;159.8655
160371;159.9761
160463;160.0258
